timestamp;energy_used;solar_produced
1579608000;0.509;0.87
1579611600;0.746;0.44
1579615200;1.982;0.23
1579618800;2.145;0.05
1579622400;1.995;0
1579626000;0.796;0
1579629600;2.889;0
1579633200;2.808;0
1579636800;1.701;0
1579640400;0.848;0
1579644000;0.914;0
1579647600;2.56;0
1579651200;2.292;0
1579654800;0.369;0
1579658400;1.132;0
1579662000;1.847;0
1579665600;2.596;0
1579669200;1.477;0
1579672800;2.095;0
1579676400;3.366;0.02
1579680000;2.272;0.15
1579683600;2.197;0.25
1579687200;0.368;0.58
1579690800;0.165;0.53
1579694400;1.608;0.51
1579698000;3.129;0.28
1579701600;0.988;0.15
1579705200;1.152;0.02
1579708800;1.725;0
1579712400;2.727;0
1579716000;1.62;0
1579719600;1.819;0
1579723200;0.97;0
1579726800;2.075;0
1579730400;2.395;0
1579734000;0.479;0
1579737600;0.75;0
1579741200;1.397;0
1579744800;2.314;0
1579748400;1.522;0
1579752000;0.581;0
1579755600;0.598;0
1579759200;3.693;0
1579762800;3.896;0
1579766400;1.58;0.08
1579770000;0.449;0.29
1579773600;1.822;0.63
1579777200;2.466;1.76
1579780800;0.864;1.47
1579784400;0.461;0.64
1579788000;1.09;0.36
1579791600;2.833;0.13
1579795200;3.396;0
1579798800;0.969;0
1579802400;1.285;0
1579806000;2.463;0
1579809600;1.914;0
1579813200;1.767;0
1579816800;1.388;0
1579820400;2.475;0
1579824000;2.546;0
1579827600;1.098;0
1579831200;0.906;0
1579834800;1.852;0
1579838400;2.846;0
1579842000;2.887;0
1579845600;2.096;0
1579849200;2.185;0
1579852800;3.888;0.15
1579856400;3.775;0.83
1579860000;0.732;2.08
1579863600;0.511;1.12
1579867200;1.95;0.57
1579870800;2.365;0.51
1579874400;1.173;0.2
1579878000;0.805;0.04
1579881600;1.186;0
1579885200;3.201;0
1579888800;1.823;0
1579892400;0.416;0
1579896000;1.763;0
1579899600;2.748;0
1579903200;2.339;0
1579906800;0.968;0
1579910400;0.774;0
1579914000;2.626;0
1579917600;2.594;0
1579921200;1.081;0
1579924800;0.882;0
1579928400;1.894;0
1579932000;2.611;0
1579935600;1.769;0
1579939200;2.445;0.13
1579942800;2.705;0.31
1579946400;4.396;0.47
1579950000;3.105;0.54
1579953600;1.021;0.58
1579957200;0.397;0.48
1579960800;2.685;0.28
1579964400;3.553;0.05
1579968000;2.489;0
1579971600;1.73;0
1579975200;2.153;0
1579978800;2.28;0
1579982400;1.693;0
1579986000;0.399;0
1579989600;2.136;0
1579993200;2.864;0
1579996800;3.037;0
1580000400;1.476;0
1580004000;1.022;0
1580007600;2.972;0
1580011200;2.783;0
1580014800;1.922;0
1580018400;1.332;0
1580022000;2.596;0.01
1580025600;3.672;0.42
1580029200;3.475;1.38
1580032800;0.956;1.51
1580036400;1.112;1.58
1580040000;1.937;1.63
1580043600;2.403;1.42
1580047200;0.746;0.6
1580050800;0.535;0.1
1580054400;1.833;0
1580058000;2.794;0
1580061600;2.09;0
1580065200;0.629;0
1580068800;0.797;0
1580072400;2.843;0
1580076000;3.106;0
1580079600;0.745;0
1580083200;0.562;0
1580086800;1.334;0
1580090400;2.299;0
1580094000;1.411;0
1580097600;0.385;0
1580101200;0.771;0
1580104800;3.602;0
1580108400;3.485;0.01
1580112000;0.554;0.3
1580115600;0.491;0.33
1580119200;1.39;0.76
1580122800;2.258;0.67
1580126400;1.148;1.16
1580130000;0.416;0.9
1580133600;0.298;0.44
1580137200;2.288;0.22
1580140800;2.984;0.01
1580144400;1.628;0
1580148000;1.018;0
1580151600;1.602;0
1580155200;2.521;0
1580158800;1.514;0
1580162400;0.484;0
1580166000;0.567;0
1580169600;2.202;0
1580173200;2.227;0
1580176800;0.565;0
1580180400;0.395;0
1580184000;1.634;0
1580187600;2.658;0
1580191200;2.998;0
1580194800;2.503;0
1580198400;1.402;0.14
1580202000;2.502;0.63
1580205600;1.796;0.76
1580209200;0.538;1.13
1580212800;0.477;1.01
1580216400;2.352;1.03
1580220000;2.362;0.86
1580223600;0.65;0.12
